Term [T: 32]             T in Docs  IDF
culparte                 3          2.1102132003465894
gacelas                  3          2.1102132003465894
voluta                   3          2.1102132003465894
envidiable               3          2.1102132003465894
emplea                   3          2.1102132003465894
precisas                 3          2.1102132003465894
disfrutan                3          2.1102132003465894
variedades               3          2.1102132003465894
entrepierna              3          2.1102132003465894
asegurando               3          2.1102132003465894
innegable                3          2.1102132003465894
reptar                   3          2.1102132003465894
é                        3          2.1102132003465894
solicitaba               3          2.1102132003465894
cantores                 3          2.1102132003465894
po                       3          2.1102132003465894
redacción                3          2.1102132003465894
partituras               3          2.1102132003465894
dramáticamente           3          2.1102132003465894
patrimonio               3          2.1102132003465894
entusiasmaba             3          2.1102132003465894
febrero                  3          2.1102132003465894
manifestando             3          2.1102132003465894
boscosas                 3          2.1102132003465894
zarandeándome            3          2.1102132003465894
septentrional            3          2.1102132003465894
establecidas             3          2.1102132003465894
presentará               3          2.1102132003465894
rastreador               3          2.1102132003465894
predominaba              3          2.1102132003465894
espérame                 3          2.1102132003465894
consagrado               3          2.1102132003465894
impregnar                3          2.1102132003465894
tratada                  3          2.1102132003465894
acunó                    3          2.1102132003465894
aparcados                3          2.1102132003465894
lavadora                 3          2.1102132003465894
prímulas                 3          2.1102132003465894
pedirnos                 3          2.1102132003465894
vincent                  3          2.1102132003465894
sanadora                 3          2.1102132003465894
contenedor               3          2.1102132003465894
hombría                  3          2.1102132003465894
acusa                    3          2.1102132003465894
anécdota                 3          2.1102132003465894
molestéis                3          2.1102132003465894
devuelva                 3          2.1102132003465894
ofrecerte                3          2.1102132003465894
impetuosidad             3          2.1102132003465894
excavó                   3          2.1102132003465894
puñetero                 3          2.1102132003465894
apoderé                  3          2.1102132003465894
conceder                 3          2.1102132003465894
marcus                   3          2.1102132003465894
gobernaron               3          2.1102132003465894
pompas                   3          2.1102132003465894
acusé                    3          2.1102132003465894
lamer                    3          2.1102132003465894
salpicaban               3          2.1102132003465894
destructiva              3          2.1102132003465894
afectarle                3          2.1102132003465894
lisos                    3          2.1102132003465894
enceguecedora            3          2.1102132003465894
enterar                  3          2.1102132003465894
reborde                  3          2.1102132003465894
cogidas                  3          2.1102132003465894
vigorosamente            3          2.1102132003465894
azorado                  3          2.1102132003465894
conchas                  3          2.1102132003465894
menoa                    3          2.1102132003465894
verbo                    3          2.1102132003465894
desatarse                3          2.1102132003465894
amara                    3          2.1102132003465894
devota                   3          2.1102132003465894
presintió                3          2.1102132003465894
percibo                  3          2.1102132003465894
emanaban                 3          2.1102132003465894
esternón                 3          2.1102132003465894
desprecias               3          2.1102132003465894
az                       3          2.1102132003465894
exponiendo               3          2.1102132003465894
tosí                     3          2.1102132003465894
children's               3          2.1102132003465894
vampírico                3          2.1102132003465894
verdiamarillo            3          2.1102132003465894
asando                   3          2.1102132003465894
difusas                  3          2.1102132003465894
siseos                   3          2.1102132003465894
torta                    3          2.1102132003465894
descansaremos            3          2.1102132003465894
entendernos              3          2.1102132003465894
garantizarle             3          2.1102132003465894
revoloteaba              3          2.1102132003465894
sobresalir               3          2.1102132003465894
ominosa                  3          2.1102132003465894
babuino                  3          2.1102132003465894
abominaciones            3          2.1102132003465894
diseminados              3          2.1102132003465894
distraernos              3          2.1102132003465894
revelada                 3          2.1102132003465894
vigilarnos               3          2.1102132003465894
insatisfacción           3          2.1102132003465894
ubicado                  3          2.1102132003465894
ilimitado                3          2.1102132003465894
adversos                 3          2.1102132003465894
amplía                   3          2.1102132003465894
dad                      3          2.1102132003465894
orbe                     3          2.1102132003465894
ceunon                   3          2.1102132003465894
desagües                 3          2.1102132003465894
acalambrada              3          2.1102132003465894
inversión                3          2.1102132003465894
valdrá                   3          2.1102132003465894
casarnos                 3          2.1102132003465894
bostezaba                3          2.1102132003465894
conocerá                 3          2.1102132003465894
aspirantes               3          2.1102132003465894
latino                   3          2.1102132003465894
isabel                   3          2.1102132003465894
derrotada                3          2.1102132003465894
chata                    3          2.1102132003465894
turismo                  3          2.1102132003465894
garrafas                 3          2.1102132003465894
adquirida                3          2.1102132003465894
desenfundadas            3          2.1102132003465894
desgastados              3          2.1102132003465894
dándote                  3          2.1102132003465894
fascistas                3          2.1102132003465894
descubrimientos          3          2.1102132003465894
destruimos               3          2.1102132003465894
liebres                  3          2.1102132003465894
bram                     3          2.1102132003465894
lirio                    3          2.1102132003465894
envíen                   3          2.1102132003465894
escrutinio               3          2.1102132003465894
envolviéndolo            3          2.1102132003465894
sonrisilla               3          2.1102132003465894
ordenarle                3          2.1102132003465894
cayéndome                3          2.1102132003465894
taller                   3          2.1102132003465894
paleta                   3          2.1102132003465894
consideraría             3          2.1102132003465894
mos                      3          2.1102132003465894
hallarán                 3          2.1102132003465894
rusos                    3          2.1102132003465894
aguardan                 3          2.1102132003465894
empañado                 3          2.1102132003465894
ando                     3          2.1102132003465894
cubriéndome              3          2.1102132003465894
interrumpirle            3          2.1102132003465894
hacérmelo                3          2.1102132003465894
aura                     3          2.1102132003465894
tropicales               3          2.1102132003465894
pastillas                3          2.1102132003465894
romperte                 3          2.1102132003465894
mejoraría                3          2.1102132003465894
algu                     3          2.1102132003465894
reducía                  3          2.1102132003465894
olvidara                 3          2.1102132003465894
restauración             3          2.1102132003465894
introducirse             3          2.1102132003465894
hería                    3          2.1102132003465894
entrad                   3          2.1102132003465894
narcótico                3          2.1102132003465894
arrebatos                3          2.1102132003465894
surgida                  3          2.1102132003465894
atacará                  3          2.1102132003465894
hectárea                 3          2.1102132003465894
basilisco                3          2.1102132003465894
explican                 3          2.1102132003465894
necesitarla              3          2.1102132003465894
entonaban                3          2.1102132003465894
bandoleros               3          2.1102132003465894
solicitando              3          2.1102132003465894
agotarse                 3          2.1102132003465894
ponías                   3          2.1102132003465894
reconocería              3          2.1102132003465894
liberaron                3          2.1102132003465894
calderos                 3          2.1102132003465894
concretamente            3          2.1102132003465894
venenos                  3          2.1102132003465894
planteándose             3          2.1102132003465894
convincentes             3          2.1102132003465894
abolladuras              3          2.1102132003465894
flaqueado                3          2.1102132003465894
arcones                  3          2.1102132003465894
alzarla                  3          2.1102132003465894
deliberación             3          2.1102132003465894
valían                   3          2.1102132003465894
esqueléticos             3          2.1102132003465894
muscular                 3          2.1102132003465894
barrigudo                3          2.1102132003465894
prolongados              3          2.1102132003465894
masajeó                  3          2.1102132003465894
abrasadora               3          2.1102132003465894
bastaron                 3          2.1102132003465894
biombo                   3          2.1102132003465894
jierda                   3          2.1102132003465894
enton                    3          2.1102132003465894
atajos                   3          2.1102132003465894
ampolla                  3          2.1102132003465894
cultivos                 3          2.1102132003465894
polilla                  3          2.1102132003465894
desconsoladamente        3          2.1102132003465894
conmovida                3          2.1102132003465894
aminoraron               3          2.1102132003465894
saltarines               3          2.1102132003465894
repetidos                3          2.1102132003465894
celebraciones            3          2.1102132003465894
mostrárselo              3          2.1102132003465894
esbirros                 3          2.1102132003465894
mecánicos                3          2.1102132003465894
generaban                3          2.1102132003465894
relate                   3          2.1102132003465894
instando                 3          2.1102132003465894
oscurece                 3          2.1102132003465894
escandalosamente         3          2.1102132003465894
tenerlas                 3          2.1102132003465894
convenir                 3          2.1102132003465894
nula                     3          2.1102132003465894
soplido                  3          2.1102132003465894
transportarlo            3          2.1102132003465894
encon                    3          2.1102132003465894
palangana                3          2.1102132003465894
añadiría                 3          2.1102132003465894
pidieran                 3          2.1102132003465894
acomodaba                3          2.1102132003465894
ansiado                  3          2.1102132003465894
soportan                 3          2.1102132003465894
liquido                  3          2.1102132003465894
procurarme               3          2.1102132003465894
posé                     3          2.1102132003465894
enmarcadas               3          2.1102132003465894
poseerla                 3          2.1102132003465894
paranoia                 3          2.1102132003465894
encontraréis             3          2.1102132003465894
ondeó                    3          2.1102132003465894
anclados                 3          2.1102132003465894
conocerás                3          2.1102132003465894
antecedentes             3          2.1102132003465894
vorazmente               3          2.1102132003465894
andrajos                 3          2.1102132003465894
generosas                3          2.1102132003465894
detrimento               3          2.1102132003465894
lavo                     3          2.1102132003465894
carretilla               3          2.1102132003465894
inmigrantes              3          2.1102132003465894
interviniera             3          2.1102132003465894
significativas           3          2.1102132003465894
trataremos               3          2.1102132003465894
sobacos                  3          2.1102132003465894
infames                  3          2.1102132003465894
bruta                    3          2.1102132003465894
alarde                   3          2.1102132003465894
prefiera                 3          2.1102132003465894
chinchetas               3          2.1102132003465894
minúsculas               3          2.1102132003465894
adora                    3          2.1102132003465894
alimentarlo              3          2.1102132003465894
gemelas                  3          2.1102132003465894
caninos                  3          2.1102132003465894
perpetuamente            3          2.1102132003465894
torrencial               3          2.1102132003465894
recorrerlo               3          2.1102132003465894
mandarme                 3          2.1102132003465894
lloroso                  3          2.1102132003465894
arrepentirme             3          2.1102132003465894
avergonzados             3          2.1102132003465894
exigente                 3          2.1102132003465894
boston                   3          2.1102132003465894
encantadores             3          2.1102132003465894
saldréis                 3          2.1102132003465894
arrepentimiento          3          2.1102132003465894
recuadro                 3          2.1102132003465894
tuviésemos               3          2.1102132003465894
cogería                  3          2.1102132003465894
conservarla              3          2.1102132003465894
chisporroteó             3          2.1102132003465894
sonámbula                3          2.1102132003465894
insustancial             3          2.1102132003465894
quebrándose              3          2.1102132003465894
presiento                3          2.1102132003465894
contagió                 3          2.1102132003465894
acobardó                 3          2.1102132003465894
subo                     3          2.1102132003465894
quedémonos               3          2.1102132003465894
quemará                  3          2.1102132003465894
sentemos                 3          2.1102132003465894
gozado                   3          2.1102132003465894
agotadas                 3          2.1102132003465894
computadoras             3          2.1102132003465894
informador               3          2.1102132003465894
crezcas                  3          2.1102132003465894
trazaron                 3          2.1102132003465894
saliste                  3          2.1102132003465894
chirriaba                3          2.1102132003465894
amiguito                 3          2.1102132003465894
amoroso                  3          2.1102132003465894
costarle                 3          2.1102132003465894
estre                    3          2.1102132003465894
bre                      3          2.1102132003465894
culminar                 3          2.1102132003465894
evaluando                3          2.1102132003465894
descubrirse              3          2.1102132003465894
draumr                   3          2.1102132003465894
olfateaban               3          2.1102132003465894
reprimendas              3          2.1102132003465894
haciéndote               3          2.1102132003465894
décima                   3          2.1102132003465894
ligaduras                3          2.1102132003465894
rasgaron                 3          2.1102132003465894
canasta                  3          2.1102132003465894
postal                   3          2.1102132003465894
térmicas                 3          2.1102132003465894
empalizada               3          2.1102132003465894
anhelando                3          2.1102132003465894
reflectores              3          2.1102132003465894
intactas                 3          2.1102132003465894
monotonía                3          2.1102132003465894
líquenes                 3          2.1102132003465894
encargan                 3          2.1102132003465894
sueles                   3          2.1102132003465894
rodearlo                 3          2.1102132003465894
desigualdades            3          2.1102132003465894
cohetes                  3          2.1102132003465894
fallamos                 3          2.1102132003465894
destelló                 3          2.1102132003465894
casero                   3          2.1102132003465894
perlaba                  3          2.1102132003465894
pronunciarlas            3          2.1102132003465894
corran                   3          2.1102132003465894
rebuzno                  3          2.1102132003465894
garfito                  3          2.1102132003465894
aros                     3          2.1102132003465894
planeabas                3          2.1102132003465894
sensacionales            3          2.1102132003465894
tranquiliza              3          2.1102132003465894
sobrepasar               3          2.1102132003465894
bajáramos                3          2.1102132003465894
majestades               3          2.1102132003465894
atarme                   3          2.1102132003465894
molesté                  3          2.1102132003465894
1950                     3          2.1102132003465894
beige                    3          2.1102132003465894
válvula                  3          2.1102132003465894
orejeras                 3          2.1102132003465894
rematada                 3          2.1102132003465894
observándola             3          2.1102132003465894
entregarlo               3          2.1102132003465894
aplicarlas               3          2.1102132003465894
asoleada                 3          2.1102132003465894
fortificaciones          3          2.1102132003465894
considerará              3          2.1102132003465894
muestro                  3          2.1102132003465894
centrar                  3          2.1102132003465894
detestable               3          2.1102132003465894
sorbía                   3          2.1102132003465894
dependería               3          2.1102132003465894
destrozos                3          2.1102132003465894
preparan                 3          2.1102132003465894
subyugar                 3          2.1102132003465894
huyes                    3          2.1102132003465894
apodera                  3          2.1102132003465894
sucumbió                 3          2.1102132003465894
golpeándome              3          2.1102132003465894
llévalo                  3          2.1102132003465894
prestando                3          2.1102132003465894
apogeo                   3          2.1102132003465894
enfundar                 3          2.1102132003465894
pequeñez                 3          2.1102132003465894
distraerle               3          2.1102132003465894
enfundadas               3          2.1102132003465894
promedio                 3          2.1102132003465894
retortijón               3          2.1102132003465894
tumultuosa               3          2.1102132003465894
polo                     3          2.1102132003465894
envejecen                3          2.1102132003465894
peinados                 3          2.1102132003465894
reclutar                 3          2.1102132003465894
atareado                 3          2.1102132003465894
resquebrajado            3          2.1102132003465894
cumplen                  3          2.1102132003465894
reparador                3          2.1102132003465894
iniciando                3          2.1102132003465894
reagruparon              3          2.1102132003465894
vituallas                3          2.1102132003465894
chip                     3          2.1102132003465894
celestial                3          2.1102132003465894
define                   3          2.1102132003465894
yacer                    3          2.1102132003465894
efectivos                3          2.1102132003465894
floritura                3          2.1102132003465894
recodos                  3          2.1102132003465894
inmerso                  3          2.1102132003465894
retornar                 3          2.1102132003465894
estiraban                3          2.1102132003465894
engañé                   3          2.1102132003465894
dis                      3          2.1102132003465894
pisa                     3          2.1102132003465894
compungida               3          2.1102132003465894
estudiada                3          2.1102132003465894
síganme                  3          2.1102132003465894
mencionaron              3          2.1102132003465894
balanceé                 3          2.1102132003465894
celebra                  3          2.1102132003465894
reprochar                3          2.1102132003465894
homicida                 3          2.1102132003465894
sorber                   3          2.1102132003465894
impusiera                3          2.1102132003465894
mississippi              3          2.1102132003465894
contradecir              3          2.1102132003465894
exploré                  3          2.1102132003465894
liderazgo                3          2.1102132003465894
trenzado                 3          2.1102132003465894
visitarlos               3          2.1102132003465894
diciéndonos              3          2.1102132003465894
watson                   3          2.1102132003465894
armero                   3          2.1102132003465894
llos                     3          2.1102132003465894
encargos                 3          2.1102132003465894
aferradas                3          2.1102132003465894
esmalte                  3          2.1102132003465894
esperarías               3          2.1102132003465894
gobernante               3          2.1102132003465894
opusieron                3          2.1102132003465894
mitchell                 3          2.1102132003465894
presentable              3          2.1102132003465894
diafragma                3          2.1102132003465894
calvos                   3          2.1102132003465894
hincharon                3          2.1102132003465894
lograrán                 3          2.1102132003465894
atenerse                 3          2.1102132003465894
interrumpa               3          2.1102132003465894
evitaran                 3          2.1102132003465894
alejo                    3          2.1102132003465894
ensilló                  3          2.1102132003465894
tolero                   3          2.1102132003465894
brindaré                 3          2.1102132003465894
grosella                 3          2.1102132003465894
ridículos                3          2.1102132003465894
invadían                 3          2.1102132003465894
tamborilear              3          2.1102132003465894
monté                    3          2.1102132003465894
interlocutor             3          2.1102132003465894
alfabeta                 3          2.1102132003465894
desagradó                3          2.1102132003465894
resfriados               3          2.1102132003465894
préstamos                3          2.1102132003465894
ociosos                  3          2.1102132003465894
registren                3          2.1102132003465894
cirios                   3          2.1102132003465894
desfigurada              3          2.1102132003465894
faltarle                 3          2.1102132003465894
empujo                   3          2.1102132003465894
tonces                   3          2.1102132003465894
adquirían                3          2.1102132003465894
indómita                 3          2.1102132003465894
desterrado               3          2.1102132003465894
convenceros              3          2.1102132003465894
adentrado                3          2.1102132003465894
sidra                    3          2.1102132003465894
mírate                   3          2.1102132003465894
seguiréis                3          2.1102132003465894
valdrían                 3          2.1102132003465894
society                  3          2.1102132003465894
taimado                  3          2.1102132003465894
fierro                   3          2.1102132003465894
embotada                 3          2.1102132003465894
lechoso                  3          2.1102132003465894
darla                    3          2.1102132003465894
super                    3          2.1102132003465894
tópico                   3          2.1102132003465894
subirle                  3          2.1102132003465894
maliciosamente           3          2.1102132003465894
caminaremos              3          2.1102132003465894
encuen                   3          2.1102132003465894
viajábamos               3          2.1102132003465894
convertimos              3          2.1102132003465894
destructivo              3          2.1102132003465894
operar                   3          2.1102132003465894
enterrarla               3          2.1102132003465894
dañó                     3          2.1102132003465894
causarse                 3          2.1102132003465894
absolutas                3          2.1102132003465894
varden                   3          2.1102132003465894
roedores                 3          2.1102132003465894
telefoneó                3          2.1102132003465894
precipito                3          2.1102132003465894
esperanzadamente         3          2.1102132003465894
tentó                    3          2.1102132003465894
interfiera               3          2.1102132003465894
límpido                  3          2.1102132003465894
enfriaba                 3          2.1102132003465894
garrow                   3          2.1102132003465894
lino                     3          2.1102132003465894
ensayó                   3          2.1102132003465894
insistiría               3          2.1102132003465894
retenerlo                3          2.1102132003465894
calabazas                3          2.1102132003465894
diagnóstico              3          2.1102132003465894
restregando              3          2.1102132003465894
puntera                  3          2.1102132003465894
trastabillé              3          2.1102132003465894
perversidad              3          2.1102132003465894
calderilla               3          2.1102132003465894
capturada                3          2.1102132003465894
guárdalo                 3          2.1102132003465894
pleitesía                3          2.1102132003465894
conviertes               3          2.1102132003465894
patrullando              3          2.1102132003465894
dirigiéndole             3          2.1102132003465894
manejarla                3          2.1102132003465894
atemorizado              3          2.1102132003465894
erizados                 3          2.1102132003465894
peleó                    3          2.1102132003465894
desemboca                3          2.1102132003465894
invernaderos             3          2.1102132003465894
reflejados               3          2.1102132003465894
retrasaba                3          2.1102132003465894
bendecir                 3          2.1102132003465894
atrévete                 3          2.1102132003465894
reumatismo               3          2.1102132003465894
billar                   3          2.1102132003465894
exorbitante              3          2.1102132003465894
hondas                   3          2.1102132003465894
repulsiva                3          2.1102132003465894
disparatada              3          2.1102132003465894
alborozado               3          2.1102132003465894
enfrentes                3          2.1102132003465894
esconderle               3          2.1102132003465894
transfirió               3          2.1102132003465894
secundó                  3          2.1102132003465894
agudizó                  3          2.1102132003465894
albriech                 3          2.1102132003465894
aten                     3          2.1102132003465894
sumándose                3          2.1102132003465894
fláccido                 3          2.1102132003465894
respondimos              3          2.1102132003465894
plantaba                 3          2.1102132003465894
interfieras              3          2.1102132003465894
refieren                 3          2.1102132003465894
decoración               3          2.1102132003465894
scrubb                   3          2.1102132003465894
pócimas                  3          2.1102132003465894
floridos                 3          2.1102132003465894
magnificencia            3          2.1102132003465894
llorosa                  3          2.1102132003465894
domino                   3          2.1102132003465894
constaba                 3          2.1102132003465894
recibirán                3          2.1102132003465894
derrumbarme              3          2.1102132003465894
tronjheim                3          2.1102132003465894
difiere                  3          2.1102132003465894
pillarnos                3          2.1102132003465894
tonalidad                3          2.1102132003465894
cuenten                  3          2.1102132003465894
explotación              3          2.1102132003465894
planteada                3          2.1102132003465894
rebuznos                 3          2.1102132003465894
chapa                    3          2.1102132003465894
inquietas                3          2.1102132003465894
retozando                3          2.1102132003465894
acelerados               3          2.1102132003465894
togira                   3          2.1102132003465894
refrescado               3          2.1102132003465894
talleres                 3          2.1102132003465894
palabrota                3          2.1102132003465894
permitidas               3          2.1102132003465894
deparaba                 3          2.1102132003465894
enderezaron              3          2.1102132003465894
pelearme                 3          2.1102132003465894
bondadosos               3          2.1102132003465894
lastimadas               3          2.1102132003465894
rindes                   3          2.1102132003465894
tiernos                  3          2.1102132003465894
brazas                   3          2.1102132003465894
arya                     3          2.1102132003465894
advertían                3          2.1102132003465894
balbuceaba               3          2.1102132003465894
chelines                 3          2.1102132003465894
pulsante                 3          2.1102132003465894
calificaciones           3          2.1102132003465894
horst                    3          2.1102132003465894
derribados               3          2.1102132003465894
rescatador               3          2.1102132003465894
pomposamente             3          2.1102132003465894
requete                  3          2.1102132003465894
cometo                   3          2.1102132003465894
equipada                 3          2.1102132003465894
trenzada                 3          2.1102132003465894
revelarles               3          2.1102132003465894
rendimiento              3          2.1102132003465894
ponérsela                3          2.1102132003465894
marchaste                3          2.1102132003465894
dilataba                 3          2.1102132003465894
vaquero                  3          2.1102132003465894
utilizarían              3          2.1102132003465894
cardo                    3          2.1102132003465894
crispada                 3          2.1102132003465894
aprendes                 3          2.1102132003465894
absorbida                3          2.1102132003465894
miraz                    3          2.1102132003465894
iniciamos                3          2.1102132003465894
interrumpas              3          2.1102132003465894
choques                  3          2.1102132003465894
obtuviste                3          2.1102132003465894
admiten                  3          2.1102132003465894
pecas                    3          2.1102132003465894
realización              3          2.1102132003465894
opté                     3          2.1102132003465894
corva                    3          2.1102132003465894
preliminar               3          2.1102132003465894
recortaba                3          2.1102132003465894
alocada                  3          2.1102132003465894
abultados                3          2.1102132003465894
martillazos              3          2.1102132003465894
coleccionaba             3          2.1102132003465894
reducían                 3          2.1102132003465894
aquiles                  3          2.1102132003465894
inventan                 3          2.1102132003465894
sesgado                  3          2.1102132003465894
patearle                 3          2.1102132003465894
transferencia            3          2.1102132003465894
ejecutó                  3          2.1102132003465894
reliquias                3          2.1102132003465894
paisanos                 3          2.1102132003465894
arcón                    3          2.1102132003465894
esparcida                3          2.1102132003465894
añoraba                  3          2.1102132003465894
pueblecitos              3          2.1102132003465894
bares                    3          2.1102132003465894
dispararse               3          2.1102132003465894
solidez                  3          2.1102132003465894
atacarlos                3          2.1102132003465894
sobreviven               3          2.1102132003465894
agujeritos               3          2.1102132003465894
encabezar                3          2.1102132003465894
asignaturas              3          2.1102132003465894
enloquecieron            3          2.1102132003465894
brillantemente           3          2.1102132003465894
adopción                 3          2.1102132003465894
curvado                  3          2.1102132003465894
consuela                 3          2.1102132003465894
decencia                 3          2.1102132003465894
pergaminos               3          2.1102132003465894
vivacidad                3          2.1102132003465894
ejecuta                  3          2.1102132003465894
moderada                 3          2.1102132003465894
desayuné                 3          2.1102132003465894
cobro                    3          2.1102132003465894
implicar                 3          2.1102132003465894
huérfano                 3          2.1102132003465894
apresuramiento           3          2.1102132003465894
descansados              3          2.1102132003465894
orik                     3          2.1102132003465894
entarimado               3          2.1102132003465894
frasquito                3          2.1102132003465894
transmitida              3          2.1102132003465894
obsesionado              3          2.1102132003465894
entiendas                3          2.1102132003465894
colorear                 3          2.1102132003465894
malabarista              3          2.1102132003465894
espaciales               3          2.1102132003465894
morzan                   3          2.1102132003465894
fragua                   3          2.1102132003465894
grabadora                3          2.1102132003465894
disipaba                 3          2.1102132003465894
anca                     3          2.1102132003465894
lanzaran                 3          2.1102132003465894
escudriñé                3          2.1102132003465894
apartarnos               3          2.1102132003465894
mátame                   3          2.1102132003465894
lucharás                 3          2.1102132003465894
aspavientos              3          2.1102132003465894
pasamontañas             3          2.1102132003465894
pintas                   3          2.1102132003465894
deslumbrada              3          2.1102132003465894
asociados                3          2.1102132003465894
conti                    3          2.1102132003465894
sonoramente              3          2.1102132003465894
jarcias                  3          2.1102132003465894
advertidos               3          2.1102132003465894
beberla                  3          2.1102132003465894
aceptarás                3          2.1102132003465894
eruditos                 3          2.1102132003465894
reducen                  3          2.1102132003465894
inalcanzables            3          2.1102132003465894
decorativos              3          2.1102132003465894
prohíbo                  3          2.1102132003465894
mercenarios              3          2.1102132003465894
respiraban               3          2.1102132003465894
medialuna                3          2.1102132003465894
desatar                  3          2.1102132003465894
laúdes                   3          2.1102132003465894
brotan                   3          2.1102132003465894
vadeando                 3          2.1102132003465894
arrecife                 3          2.1102132003465894
cautamente               3          2.1102132003465894
consultan                3          2.1102132003465894
propicia                 3          2.1102132003465894
fanfarronadas            3          2.1102132003465894
felicité                 3          2.1102132003465894
cúrate                   3          2.1102132003465894
establece                3          2.1102132003465894
marcial                  3          2.1102132003465894
der                      3          2.1102132003465894
servirlo                 3          2.1102132003465894
submundo                 3          2.1102132003465894
granates                 3          2.1102132003465894
atascados                3          2.1102132003465894
gabarra                  3          2.1102132003465894
referentes               3          2.1102132003465894
adolorida                3          2.1102132003465894
parando                  3          2.1102132003465894
comunista                3          2.1102132003465894
pisoteando               3          2.1102132003465894
dobladillo               3          2.1102132003465894
convencerá               3          2.1102132003465894
narra                    3          2.1102132003465894
arrepentí                3          2.1102132003465894
disolver                 3          2.1102132003465894
cañada                   3          2.1102132003465894
guapas                   3          2.1102132003465894
enfurecer                3          2.1102132003465894
sumisamente              3          2.1102132003465894
fachadas                 3          2.1102132003465894
port                     3          2.1102132003465894
lanzarnos                3          2.1102132003465894
deliberados              3          2.1102132003465894
avistar                  3          2.1102132003465894
larguísimo               3          2.1102132003465894
59                       3          2.1102132003465894
llamita                  3          2.1102132003465894
espantos                 3          2.1102132003465894
montarte                 3          2.1102132003465894
reemplazaría             3          2.1102132003465894
bordeado                 3          2.1102132003465894
implícito                3          2.1102132003465894
agradan                  3          2.1102132003465894
tajada                   3          2.1102132003465894
arregle                  3          2.1102132003465894
pisara                   3          2.1102132003465894
positiva                 3          2.1102132003465894
hablarán                 3          2.1102132003465894
masajeando               3          2.1102132003465894
sobrehumana              3          2.1102132003465894
llevármelo               3          2.1102132003465894
intermedia               3          2.1102132003465894
conspiraba               3          2.1102132003465894
capta                    3          2.1102132003465894
mostacho                 3          2.1102132003465894
hindúes                  3          2.1102132003465894
adornaba                 3          2.1102132003465894
uniformados              3          2.1102132003465894
muelas                   3          2.1102132003465894
alzo                     3          2.1102132003465894
sil                      3          2.1102132003465894
calmé                    3          2.1102132003465894
residencias              3          2.1102132003465894
dentados                 3          2.1102132003465894
mojar                    3          2.1102132003465894
excitadamente            3          2.1102132003465894
calabozos                3          2.1102132003465894
representante            3          2.1102132003465894
imprudencia              3          2.1102132003465894
dictaba                  3          2.1102132003465894
exhibe                   3          2.1102132003465894
anduvieron               3          2.1102132003465894
vadearlo                 3          2.1102132003465894
planteara                3          2.1102132003465894
interrogación            3          2.1102132003465894
redecilla                3          2.1102132003465894
almacenar                3          2.1102132003465894
preguntaría              3          2.1102132003465894
altísima                 3          2.1102132003465894
venia                    3          2.1102132003465894
periodos                 3          2.1102132003465894
rayado                   3          2.1102132003465894
canoas                   3          2.1102132003465894
envolver                 3          2.1102132003465894
bíblico                  3          2.1102132003465894
cercenados               3          2.1102132003465894
conectadas               3          2.1102132003465894
cheques                  3          2.1102132003465894
show                     3          2.1102132003465894
controlarte              3          2.1102132003465894
lóbrega                  3          2.1102132003465894
prados                   3          2.1102132003465894
afeité                   3          2.1102132003465894
abarrotados              3          2.1102132003465894
visibilidad              3          2.1102132003465894
muerdan                  3          2.1102132003465894
apreciando               3          2.1102132003465894
cooperando               3          2.1102132003465894
adhesiva                 3          2.1102132003465894
envarado                 3          2.1102132003465894
nudillo                  3          2.1102132003465894
barcelona                3          2.1102132003465894
internacionales          3          2.1102132003465894
devorador                3          2.1102132003465894
nieta                    3          2.1102132003465894
equipajes                3          2.1102132003465894
encogerme                3          2.1102132003465894
retomamos                3          2.1102132003465894
gogh                     3          2.1102132003465894
ventarrón                3          2.1102132003465894
doliendo                 3          2.1102132003465894
bebimos                  3          2.1102132003465894
putrefactos              3          2.1102132003465894
ejerció                  3          2.1102132003465894
protegerán               3          2.1102132003465894
majestuosidad            3          2.1102132003465894
excavando                3          2.1102132003465894
terminaremos             3          2.1102132003465894
originó                  3          2.1102132003465894
anocheciendo             3          2.1102132003465894
